timestamp,system_time,wheel_x,wheel_y,wheel_yaw_deg,wheel_vx,wheel_vy,wheel_wz,ekf_x,ekf_y,ekf_yaw_deg,ekf_vx,ekf_vy,ekf_wz,imu_yaw_deg,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,cmd_stage2_linear,cmd_stage2_angular,cmd_lane_linear,cmd_lane_angular,cmd_final_linear,cmd_final_angular,front_dist,front_angle_deg,left_dist,right_dist,phase,mission_state,feedback,avoid_state,avoid_leg_m,avoid_turn_deg,plan_index,seg_type,seg_desc
1780714856.424716,1780714856.424819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06538109019920887,0.0,0.0,4.891409806877375e-08,-0.06707017646202876,-0.0011962867574766278,0.01315915398299694,9.819121360778809,0.0,-0.0005328800179995596,-0.0005328800179995596,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,inf,inf,0,,,,0.0,0.0,-1,,
1780714857.424850,1780714857.424956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08719211016640994,0.0,0.0,-5.142644371279722e-08,-0.08976557828394621,0.016748014837503433,0.029907168820500374,9.825102806091309,0.0002664400089997798,0.0,-0.0002664400089997798,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,inf,inf,0,,,,0.0,0.0,-1,,
1780714858.424588,1780714858.424686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09686281807563783,0.0,0.0,-5.7572022614039205e-08,-0.098094740323825,0.011962867341935635,0.014355440624058247,9.820318222045898,-0.0002664400089997798,-0.0010657600359991193,-0.0002664400089997798,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,inf,inf,0,idle,惯导参数测试等待输入就绪: wheel_odom(/odom 0/5),,0.0,0.0,-1,,
1780714859.424692,1780714859.424792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10940298151097659,0.0,0.0,-1.1928634301393497e-14,-0.1094095371163542,0.004785147029906511,0.0,9.827495574951172,-0.0007993200561031699,-0.0013322000158950686,0.0002664400089997798,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,inf,inf,0,idle,惯导参数测试位姿已就绪，0.50s 后开始,,0.0,0.0,-1,,
1780714860.424774,1780714860.424874,0.007879866287112236,0.00012328864249866456,1.8375582358070879,0.039000000804662704,0.0,0.16099999845027924,0.004959292315028731,2.4571797808996342e-05,0.9804617965194699,0.03248341971645866,0.0,0.08000007916724078,1.280128192253096,0.03708488866686821,0.2320796251296997,9.628911972045898,0.003996599931269884,0.003996599931269884,0.12575969099998474,0.08,0.8,0.0,0.0,0.08,0.8,inf,0.0,inf,inf,0,rect_enter_align,惯导参数测试当前位置: 通道后起点入口对齐，开始左转 95 度,,0.0,0.0,-1,,
1780714861.424699,1780714861.424802,0.08841503411531448,0.010511675849556923,11.988768087840334,0.08500000089406967,0.0,0.07999999821186066,0.08078903846414275,0.008247749230316986,11.943071950776773,0.08639761608809153,0.0,0.24199394370126043,12.584865150992215,-0.04785146936774254,0.08015121519565582,9.808355331420898,0.0018650800921022892,-0.007993199862539768,0.22514180839061737,0.08,0.8,0.0,0.0,0.08,0.8,inf,0.0,inf,inf,0,rect_enter_align,惯导参数测试当前位置: 通道后起点入口对齐，开始左转 95 度,,0.0,0.0,-1,,
1780714862.424775,1780714862.424889,0.16812020540237427,0.037362389266490936,23.76954667017003,0.08500000089406967,0.0,0.24199999868869781,0.15938342322475402,0.03337404140984902,23.814737887055756,0.08672417420033421,0.0,0.2419999986762976,24.28830448466789,-0.17346158623695374,0.05981433764100075,9.927983283996582,0.005062360316514969,0.0005328800179995596,0.18837308883666992,0.08,0.8,0.0,0.0,0.08,0.8,inf,0.0,inf,inf,0,rect_enter_align,惯导参数测试当前位置: 通道后起点入口对齐，开始左转 95 度,,0.0,0.0,-1,,
1780714863.424659,1780714863.424762,0.2413516491651535,0.08084214478731155,34.15190549164214,0.07800000160932541,0.0,0.16099999845027924,0.2323267712812028,0.07405480664120197,35.05775304843469,0.08023730727672702,0.0,0.16101018270256437,35.56097680505619,-0.03469231724739075,-0.07656235247850418,9.813139915466309,0.004263040143996477,-0.005328800063580275,0.19050461053848267,0.08,0.8,0.0,0.0,0.08,0.8,inf,0.0,inf,inf,0,rect_enter_align,惯导参数测试当前位置: 通道后起点入口对齐，开始左转 95 度,,0.0,0.0,-1,,
1780714864.424611,1780714864.424714,0.303702175617218,0.1363077610731125,44.76720449966295,0.06499999761581421,0.0,0.16099999845027924,0.2944215704835142,0.12714418256038468,46.4085790928442,0.06747520266103366,0.0,0.1609984232212179,46.874620399116374,0.08613264560699463,0.0945066511631012,9.761699676513672,0.014920640736818314,-0.009325399994850159,0.16679143905639648,0.08,0.8,0.0,0.0,0.08,0.8,inf,0.0,inf,inf,0,rect_enter_align,惯导参数测试当前位置: 通道后起点入口对齐，开始左转 95 度,,0.0,0.0,-1,,
1780714865.424574,1780714865.424670,0.35705602169036865,0.20618169009685516,56.08431910528091,0.08500000089406967,0.0,0.24199999868869781,0.3455056512211575,0.19197059056923277,57.84704907682462,0.0952605884162089,0.0,0.16101434944856519,58.43294603517228,-0.09809551388025284,0.15432098507881165,9.840654373168945,0.006394560448825359,0.0007993200561031699,0.19929713010787964,0.08,0.8,0.0,0.0,0.08,0.8,inf,0.0,inf,inf,0,rect_enter_align,惯导参数测试当前位置: 通道后起点入口对齐，开始左转 95 度,,0.0,0.0,-1,,
